2026-03-02 11:17:13,351 - ✅ NORMAL ACTIVITY | probability=0.380
2026-03-02 11:17:16,382 - ✅ NORMAL ACTIVITY | probability=0.420
2026-03-02 11:17:19,415 - ✅ NORMAL ACTIVITY | probability=0.393
2026-03-02 11:17:22,449 - ✅ NORMAL ACTIVITY | probability=0.320
2026-03-02 11:17:25,479 - ✅ NORMAL ACTIVITY | probability=0.480
2026-03-02 11:17:28,511 - ✅ NORMAL ACTIVITY | probability=0.447
2026-03-02 11:17:31,543 - ✅ NORMAL ACTIVITY | probability=0.433
2026-03-02 11:17:34,588 - ✅ NORMAL ACTIVITY | probability=0.387
2026-03-02 11:17:37,620 - ✅ NORMAL ACTIVITY | probability=0.487
2026-03-02 11:17:40,652 - ✅ NORMAL ACTIVITY | probability=0.380
2026-03-02 11:17:43,685 - ✅ NORMAL ACTIVITY | probability=0.353
2026-03-02 11:17:46,718 - ✅ NORMAL ACTIVITY | probability=0.373
2026-03-02 11:17:49,751 - ✅ NORMAL ACTIVITY | probability=0.453
2026-03-02 11:17:52,783 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:17:55,819 - 🚨 RANSOMWARE DETECTED | probability=0.633
2026-03-02 11:17:58,853 - 🚨 RANSOMWARE DETECTED | probability=0.627
2026-03-02 11:18:01,885 - 🚨 RANSOMWARE DETECTED | probability=0.793
2026-03-02 11:18:04,917 - 🚨 RANSOMWARE DETECTED | probability=0.753
2026-03-02 11:18:07,950 - 🚨 RANSOMWARE DETECTED | probability=0.847
2026-03-02 11:18:10,994 - 🚨 RANSOMWARE DETECTED | probability=0.707
2026-03-02 11:18:14,030 - 🚨 RANSOMWARE DETECTED | probability=0.733
2026-03-02 11:18:17,063 - 🚨 RANSOMWARE DETECTED | probability=0.847
2026-03-02 11:18:20,097 - 🚨 RANSOMWARE DETECTED | probability=0.813
2026-03-02 11:18:23,128 - 🚨 RANSOMWARE DETECTED | probability=0.760
2026-03-02 11:18:26,160 - 🚨 RANSOMWARE DETECTED | probability=0.833
2026-03-02 11:18:29,193 - 🚨 RANSOMWARE DETECTED | probability=0.847
2026-03-02 11:22:34,087 - ✅ NORMAL ACTIVITY | probability=0.507
2026-03-02 11:22:37,119 - ✅ NORMAL ACTIVITY | probability=0.393
2026-03-02 11:22:40,155 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:22:43,189 - ✅ NORMAL ACTIVITY | probability=0.400
2026-03-02 11:22:46,221 - ✅ NORMAL ACTIVITY | probability=0.453
2026-03-02 11:22:49,253 - ✅ NORMAL ACTIVITY | probability=0.387
2026-03-02 11:22:52,284 - ✅ NORMAL ACTIVITY | probability=0.340
2026-03-02 11:22:55,315 - ✅ NORMAL ACTIVITY | probability=0.373
2026-03-02 11:22:58,347 - ✅ NORMAL ACTIVITY | probability=0.473
2026-03-02 11:23:01,381 - ✅ NORMAL ACTIVITY | probability=0.447
2026-03-02 11:23:04,414 - ✅ NORMAL ACTIVITY | probability=0.500
2026-03-02 11:23:07,447 - ✅ NORMAL ACTIVITY | probability=0.267
